year,IP,Ningbo,time,level,trend,Ningbotime,Ningbolevel,Ningbotrend
2000,481.6692448,1,1,0,0,1,0,0
2001,839.8223172,1,2,0,0,2,0,0
2002,1105.322795,1,3,0,0,3,0,0
2003,829.380237,1,4,0,0,4,0,0
2004,1266.751306,1,5,0,0,5,0,0
2005,922.0272,1,6,0,0,6,0,0
2006,1243.059544,1,7,0,0,7,0,0
2007,1345.5029,1,8,0,0,8,0,0
2008,1185.45246,1,9,0,0,9,0,0
2009,985.7575332,1,10,1,1,10,1,1
2010,1125.913844,1,11,1,2,11,1,2
2011,1468.163582,1,12,1,3,12,1,3
2012,1839.429316,1,13,1,4,13,1,4
2013,1154.566851,1,14,1,5,14,1,5
2014,1679.090256,1,15,1,6,15,1,6
2015,1744.324915,1,16,1,7,16,1,7
2016,1297.124736,1,17,1,8,17,1,8
2017,1621.228309,1,18,1,9,18,1,9
2000,437.7641706,0,1,0,0,0,0,0
2001,756.3627006,0,2,0,0,0,0,0
2002,670.9772649,0,3,0,0,0,0,0
2003,973.0543787,0,4,0,0,0,0,0
2004,854.2917533,0,5,0,0,0,0,0
2005,1343.851086,0,6,0,0,0,0,0
2006,854.4366204,0,7,0,0,0,0,0
2007,1718.615303,0,8,0,0,0,0,0
2008,947.8834972,0,9,0,0,0,0,0
2009,895.3072824,0,10,1,1,0,0,0
2010,1071.2676,0,11,1,2,0,0,0
2011,1363.196233,0,12,1,3,0,0,0
2012,1405.649592,0,13,1,4,0,0,0
2013,1360.886667,0,14,1,5,0,0,0
2014,1901.986577,0,15,1,6,0,0,0
2015,1257.031722,0,16,1,7,0,0,0
2016,1745.009332,0,17,1,8,0,0,0
2017,1751.824209,0,18,1,9,0,0,0
