year,RE,Jiaxing,time,level,trend,Jiaxingtime,Jiaxinglevel,Jiaxingtrend
2000,124.4741026,1,1,0,0,1,0,0
2001,289.8745046,1,2,0,0,2,0,0
2002,318.3835269,1,3,0,0,3,0,0
2003,553.6182945,1,4,0,0,4,0,0
2004,234.117099,1,5,0,0,5,0,0
2005,274.9396866,1,6,0,0,6,0,0
2006,245.5290941,1,7,0,0,7,0,0
2007,704.6455852,1,8,0,0,8,0,0
2008,297.8714564,1,9,0,0,9,0,0
2009,338.968056,1,10,1,1,10,1,1
2010,304.9649859,1,11,1,2,11,1,2
2011,375.4189063,1,12,1,3,12,1,3
2012,510.7524606,1,13,1,4,13,1,4
2013,275.0128227,1,14,1,5,14,1,5
2014,532.519327,1,15,1,6,15,1,6
2015,303.6768051,1,16,1,7,16,1,7
2016,549.2332784,1,17,1,8,17,1,8
2017,423.9394753,1,18,1,9,18,1,9
2000,400.0693937,0,1,0,0,0,0,0
2001,677.1072986,0,2,0,0,0,0,0
2002,634.4332388,0,3,0,0,0,0,0
2003,901.5524395,0,4,0,0,0,0,0
2004,673.2267703,0,5,0,0,0,0,0
2005,1136.768875,0,6,0,0,0,0,0
2006,667.5053018,0,7,0,0,0,0,0
2007,1600.971428,0,8,0,0,0,0,0
2008,682.6494754,0,9,0,0,0,0,0
2009,637.08125,0,10,1,1,0,0,0
2010,949.6802686,0,11,1,2,0,0,0
2011,1019.781716,0,12,1,3,0,0,0
2012,1057.048202,0,13,1,4,0,0,0
2013,784.4670386,0,14,1,5,0,0,0
2014,1105.599367,0,15,1,6,0,0,0
2015,653.1751444,0,16,1,7,0,0,0
2016,922.4983079,0,17,1,8,0,0,0
2017,809.7860078,0,18,1,9,0,0,0
