year,RE,Ningbo,time,level,trend,Ningbotime,Ningbolevel,Ningbotrend
2000,391.8767967,1,1,0,0,1,0,0
2001,763.4853721,1,2,0,0,2,0,0
2002,1020.644537,1,3,0,0,3,0,0
2003,608.3743252,1,4,0,0,4,0,0
2004,1014.900039,1,5,0,0,5,0,0
2005,567.2252931,1,6,0,0,6,0,0
2006,859.6556118,1,7,0,0,7,0,0
2007,997.9785119,1,8,0,0,8,0,0
2008,807.0893781,1,9,0,0,9,0,0
2009,628.3612725,1,10,1,1,10,1,1
2010,809.7763398,1,11,1,2,11,1,2
2011,1010.608804,1,12,1,3,12,1,3
2012,1391.191416,1,13,1,4,13,1,4
2013,528.8973885,1,14,1,5,14,1,5
2014,915.4985565,1,15,1,6,15,1,6
2015,882.5197298,1,16,1,7,16,1,7
2016,718.5461924,1,17,1,8,17,1,8
2017,926.8498134,1,18,1,9,18,1,9
2000,400.0693937,0,1,0,0,0,0,0
2001,677.1072986,0,2,0,0,0,0,0
2002,634.4332388,0,3,0,0,0,0,0
2003,901.5524395,0,4,0,0,0,0,0
2004,673.2267703,0,5,0,0,0,0,0
2005,1136.768875,0,6,0,0,0,0,0
2006,667.5053018,0,7,0,0,0,0,0
2007,1600.971428,0,8,0,0,0,0,0
2008,682.6494754,0,9,0,0,0,0,0
2009,637.08125,0,10,1,1,0,0,0
2010,949.6802686,0,11,1,2,0,0,0
2011,1019.781716,0,12,1,3,0,0,0
2012,1057.048202,0,13,1,4,0,0,0
2013,784.4670386,0,14,1,5,0,0,0
2014,1105.599367,0,15,1,6,0,0,0
2015,653.1751444,0,16,1,7,0,0,0
2016,922.4983079,0,17,1,8,0,0,0
2017,809.7860078,0,18,1,9,0,0,0
